PLAYER_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
Kristaps Porziņģis,Boston,Celtics,BOS,8,F-C,86.0,240.0,Cajasol Sevilla,Latvia,2015.0,1.0,4.0,1.0,19.5,6.8,2.1,Season,2015,2024
James Posey,Denver,Nuggets,DEN,41,F,80.0,217.0,Xavier,USA,1999.0,1.0,18.0,0.0,8.6,4.7,1.6,Career,1999,2010
Quinten Post,Golden State,Warriors,GSW,21,C,84.0,238.0,Boston College,Netherlands,2024.0,2.0,52.0,1.0,8.1,3.5,1.3,Season,2024,2024
Lavor Postell,New York,Knicks,NYK,7,G-F,77.0,215.0,St. John's (NY),USA,2000.0,2.0,39.0,0.0,3.2,0.7,0.2,Career,2000,2002
Vitaly Potapenko,Boston,Celtics,BOS,20,C-F,82.0,285.0,Wright State,Ukraine,1996.0,1.0,12.0,0.0,6.5,4.5,0.7,Career,1996,2006
Micah Potter,Utah,Jazz,UTA,25,C,81.0,248.0,Wisconsin,USA,,,0.0,1.0,4.3,4.3,0.8,Season,2021,2024
Leon Powe,Boston,Celtics,BOS,7,F,80.0,240.0,California,USA,2006.0,2.0,49.0,0.0,6.2,3.8,0.3,Career,2006,2010
Dwight Powell,Dallas,Mavericks,DAL,7,F-C,82.0,240.0,Stanford,Canada,2014.0,2.0,45.0,1.0,2.1,2.1,1.0,Season,2014,2024
Josh Powell,Los Angeles,Lakers,LAL,21,F,81.0,240.0,North Carolina State,USA,,,0.0,0.0,3.9,2.9,0.5,Career,2005,2013
Kasib Powell,Miami,Heat,MIA,12,F,79.0,215.0,Texas Tech,USA,,,0.0,0.0,7.6,4.0,1.6,Career,2007,2007
Myles Powell,Philadelphia,76ers,PHI,5,G,74.0,195.0,Seton Hall,USA,,,0.0,0.0,1.2,0.5,0.3,Career,2021,2021
Norman Powell,LA,Clippers,LAC,24,G,76.0,215.0,UCLA,USA,2015.0,2.0,46.0,1.0,21.8,3.2,2.1,Season,2015,2024
Roger Powell,Utah,Jazz,UTA,13,F,78.0,220.0,Illinois,USA,,,0.0,0.0,0.7,1.0,0.0,Career,2006,2006
Alex Poythress,Indiana,Pacers,IND,22,F,81.0,235.0,Kentucky,USA,,,0.0,0.0,3.8,2.3,0.5,Career,2016,2018
Paul Pressey,Milwaukee,Bucks,MIL,5,G,77.0,185.0,Tulsa,USA,1982.0,1.0,20.0,0.0,10.6,3.9,5.1,Career,1982,1992
Phil Pressey,Boston,Celtics,BOS,26,G,71.0,175.0,Missouri,USA,,,0.0,0.0,3.2,1.5,2.9,Career,2013,2015
Dominic Pressley,Washington,Wizards,WAS,12,G,74.0,170.0,Boston College,USA,1986.0,2.0,99.0,0.0,1.8,1.2,2.0,Career,1988,1988
Harold Pressley,Sacramento,Kings,SAC,21,F,79.0,210.0,Villanova,USA,1986.0,1.0,17.0,0.0,9.0,4.5,2.1,Career,1986,1989
Jason Preston,Utah,Jazz,UTA,10,G,75.0,181.0,Ohio,USA,2021.0,2.0,33.0,0.0,2.5,1.9,2.0,Career,2021,2023
AJ Price,Indiana,Pacers,IND,12,G,74.0,185.0,Connecticut,USA,2009.0,2.0,52.0,0.0,5.8,1.4,2.2,Career,2009,2014
Brent Price,Washington,Wizards,WAS,25,G,73.0,185.0,Oklahoma,USA,1992.0,2.0,32.0,0.0,5.9,1.6,3.0,Career,1992,2002
Jim Price,Los Angeles,Lakers,LAL,5,G,75.0,195.0,Louisville,USA,1972.0,2.0,16.0,0.0,10.0,3.1,3.7,Career,1972,1978
Mark Price,Cleveland,Cavaliers,CLE,25,G,72.0,180.0,Georgia Tech,USA,1986.0,2.0,25.0,0.0,15.2,2.6,6.7,Career,1986,1997
Mike Price,New York,Knicks,NYK,36,G,75.0,200.0,Illinois,USA,1970.0,1.0,17.0,0.0,3.3,1.3,0.7,Career,1970,1972
Ronnie Price,Utah,Jazz,UTA,14,G,74.0,190.0,Utah Valley,USA,,,0.0,0.0,3.7,1.2,1.8,Career,2005,2016
Tony Price,LA,Clippers,LAC,34,G,78.0,190.0,Pennsylvania,USA,1979.0,2.0,29.0,0.0,0.8,0.0,0.6,Career,1980,1980
Pablo Prigioni,New York,Knicks,NYK,9,G,75.0,185.0,Baskonia,Argentina,,,0.0,0.0,3.5,1.9,2.8,Career,2012,2015
Joshua Primo,LA,Clippers,LAC,11,G,76.0,189.0,Alabama,Canada,2021.0,1.0,12.0,0.0,5.7,2.3,1.8,Career,2021,2023
Taurean Prince,Milwaukee,Bucks,MIL,12,F,78.0,218.0,Baylor,USA,2016.0,1.0,12.0,1.0,8.2,3.6,1.9,Season,2016,2024
Tayshaun Prince,Detroit,Pistons,DET,12,F,81.0,212.0,Kentucky,USA,2002.0,1.0,23.0,0.0,11.1,4.3,2.4,Career,2002,2015
Kevin Pritchard,Golden State,Warriors,GSW,12,G,75.0,180.0,Kansas,USA,1990.0,2.0,34.0,0.0,3.6,1.0,1.6,Career,1990,1995
Payton Pritchard,Boston,Celtics,BOS,11,G,73.0,195.0,Oregon,USA,2020.0,1.0,26.0,1.0,14.3,3.8,3.5,Season,2020,2024
Laron Profit,Washington,Wizards,WAS,7,G-F,77.0,204.0,Maryland,USA,1999.0,2.0,38.0,0.0,3.3,1.5,1.2,Career,1999,2005
Olivier-Maxence Prosper,Dallas,Mavericks,DAL,8,F,79.0,230.0,Marquette,Canada,2023.0,1.0,24.0,1.0,3.9,2.4,0.8,Season,2023,2024
Gabe Pruitt,Boston,Celtics,BOS,13,G,76.0,170.0,Southern California,USA,2007.0,2.0,32.0,0.0,2.0,0.8,0.8,Career,2007,2008
Joel Przybilla,Portland,Trail Blazers,POR,10,C,85.0,245.0,Minnesota,USA,2000.0,1.0,9.0,0.0,3.9,6.2,0.4,Career,2000,2012
Anthony Pullard,Milwaukee,Bucks,MIL,23,F,82.0,245.0,McNeese State,USA,,,0.0,0.0,2.1,1.0,0.3,Career,1992,1992
Jacob Pullen,Philadelphia,76ers,PHI,0,G,73.0,200.0,Kansas State,USA,,,0.0,0.0,0.7,0.0,0.0,Career,2017,2017
Zyon Pullin,Memphis,Grizzlies,MEM,12,G,76.0,206.0,Florida,USA,,,0.0,1.0,0.0,0.0,0.0,Season,2024,2024
Rodney Purvis,Orlando,Magic,ORL,15,G,76.0,205.0,Connecticut,USA,,,0.0,0.0,6.0,1.7,1.1,Career,2017,2017
Zhou Qi,Houston,Rockets,HOU,9,F-C,85.0,210.0,Xinjiang,China,2016.0,2.0,43.0,0.0,1.3,1.2,0.1,Career,2017,2018
Tim Quarterman,Portland,Trail Blazers,POR,55,G,78.0,190.0,Louisiana State,USA,2016.0,,0.0,0.0,1.8,0.9,0.6,Career,2016,2017
Trevelin Queen,Orlando,Magic,ORL,12,G,77.0,190.0,New Mexico State,USA,,,0.0,1.0,4.9,1.7,1.2,Season,2021,2024
Neemias Queta,Boston,Celtics,BOS,88,C,84.0,248.0,Utah State,Portugal,2021.0,2.0,39.0,1.0,5.0,3.8,0.7,Season,2021,2024
Bob Quick,Detroit,Pistons,DET,14,F,77.0,215.0,Xavier,USA,1968.0,2.0,18.0,0.0,6.0,2.8,0.7,Career,1968,1971
Immanuel Quickley,Toronto,Raptors,TOR,5,G,74.0,190.0,Kentucky,USA,2020.0,1.0,25.0,1.0,17.1,3.5,5.8,Season,2020,2024
Chris Quinn,Miami,Heat,MIA,20,G,74.0,175.0,Notre Dame,USA,,,0.0,0.0,4.5,1.1,1.9,Career,2006,2012
Brian Quinnett,New York,Knicks,NYK,23,G,80.0,235.0,Washington State,USA,1989.0,2.0,50.0,0.0,3.4,1.6,0.6,Career,1989,1991
Lester Quinones,New Orleans,Pelicans,NOP,22,G,76.0,208.0,Memphis,USA,,,0.0,1.0,6.6,1.5,1.8,Season,2022,2024
